Time(s)	C10bnzn(1)	O2(2)	nDBOOH1(3)	SPC(53)	HOJ(54)	HO2J(5)	C16H25J(8)	H2O(100)	C9H19J(22)	C7H6O(80)	SPC(16)	SPC(12)	C16H25J(9)	SPC(13)	SPC(10)	SPC(14)	SPC(11)	SPC(15)	SPC(17)	C16H25J(4)	C16H25J(6)	SPC(96)	C16H25J(7)	
 0.96969E-12     0.50000E-02     0.10000E-04     0.20000E-06     0.97299E-20     0.97000E-20     0.21469E-20     0.21330E-20     0.25968E-21     0.22805E-21     0.22805E-21     0.32120E-22     0.31549E-22     0.31549E-22     0.31549E-22     0.31549E-22     0.31549E-22     0.31549E-22     0.31549E-22     0.13175E-22     0.29671E-23     0.29671E-23     0.17136E-23     0.14861E-23    
 0.13576E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.13496E-19     0.13438E-19     0.30057E-20     0.29972E-20     0.50562E-21     0.44438E-21     0.44438E-21     0.59965E-22     0.59166E-22     0.59166E-22     0.59166E-22     0.59166E-22     0.59166E-22     0.59166E-22     0.59166E-22     0.25538E-22     0.57771E-23     0.57771E-23     0.33390E-23     0.28935E-23    
 0.17455E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.17192E-19     0.17097E-19     0.38645E-20     0.38675E-20     0.83025E-21     0.73026E-21     0.73026E-21     0.96117E-22     0.95089E-22     0.95089E-22     0.95089E-22     0.95089E-22     0.95089E-22     0.95089E-22     0.95089E-22     0.41830E-22     0.94863E-23     0.94863E-23     0.54871E-23     0.47512E-23    
 0.21334E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.20819E-19     0.20680E-19     0.47233E-20     0.47436E-20     0.12318E-20     0.10843E-20     0.10843E-20     0.14039E-21     0.13914E-21     0.13914E-21     0.13914E-21     0.13914E-21     0.13914E-21     0.13914E-21     0.13914E-21     0.61966E-22     0.14075E-22     0.14075E-22     0.81477E-23     0.70494E-23    
 0.29092E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.27873E-19     0.27620E-19     0.64409E-20     0.65133E-20     0.22595E-20     0.19921E-20     0.19921E-20     0.25264E-21     0.25093E-21     0.25093E-21     0.25093E-21     0.25093E-21     0.25093E-21     0.25093E-21     0.25093E-21     0.11344E-21     0.25817E-22     0.25817E-22     0.14968E-22     0.12930E-22    
 0.36074E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.33999E-19     0.33619E-19     0.79868E-20     0.81250E-20     0.34317E-20     0.30298E-20     0.30298E-20     0.37977E-21     0.37764E-21     0.37764E-21     0.37764E-21     0.37764E-21     0.37764E-21     0.37764E-21     0.37764E-21     0.17212E-21     0.39210E-22     0.39210E-22     0.22766E-22     0.19638E-22    
 0.43056E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.39921E-19     0.39393E-19     0.95326E-20     0.97541E-20     0.48290E-20     0.42694E-20     0.42694E-20     0.53066E-21     0.52813E-21     0.52813E-21     0.52813E-21     0.52813E-21     0.52813E-21     0.52813E-21     0.52813E-21     0.24204E-21     0.55175E-22     0.55175E-22     0.32080E-22     0.27635E-22    
 0.50038E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.45647E-19     0.44951E-19     0.11078E-19     0.11400E-19     0.64430E-20     0.57042E-20     0.57042E-20     0.70443E-21     0.70148E-21     0.70148E-21     0.70148E-21     0.70148E-21     0.70148E-21     0.70148E-21     0.70148E-21     0.32278E-21     0.73616E-22     0.73616E-22     0.42861E-22     0.36871E-22    
 0.57020E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.51182E-19     0.50299E-19     0.12624E-19     0.13062E-19     0.82656E-20     0.73277E-20     0.73277E-20     0.90021E-21     0.89685E-21     0.89685E-21     0.89685E-21     0.89685E-21     0.89685E-21     0.89685E-21     0.89685E-21     0.41393E-21     0.94440E-22     0.94440E-22     0.55060E-22     0.47301E-22    
 0.64002E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.56534E-19     0.55447E-19     0.14170E-19     0.14739E-19     0.10289E-19     0.91337E-20     0.91337E-20     0.11172E-20     0.11134E-20     0.11134E-20     0.11134E-20     0.11134E-20     0.11134E-20     0.11134E-20     0.11134E-20     0.51510E-21     0.11756E-21     0.11756E-21     0.68630E-22     0.58879E-22    
 0.77967E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.66710E-19     0.65171E-19     0.17262E-19     0.18137E-19     0.14908E-19     0.13269E-19     0.13269E-19     0.16115E-20     0.16069E-20     0.16069E-20     0.16069E-20     0.16069E-20     0.16069E-20     0.16069E-20     0.16069E-20     0.74602E-21     0.17033E-21     0.17033E-21     0.99702E-22     0.85310E-22    
 0.91931E-11     0.50000E-02     0.10000E-04     0.20000E-06     0.76222E-19     0.74179E-19     0.20354E-19     0.21591E-19     0.20243E-19     0.18064E-19     0.18064E-19     0.21815E-20     0.21761E-20     0.21761E-20     0.21761E-20     0.21761E-20     0.21761E-20     0.21761E-20     0.21761E-20     0.10127E-20     0.23128E-21     0.23128E-21     0.13573E-21     0.11584E-21    
 0.10590E-10     0.50000E-02     0.10000E-04     0.20000E-06     0.85112E-19     0.82523E-19     0.23445E-19     0.25096E-19     0.26241E-19     0.23475E-19     0.23475E-19     0.28214E-20     0.28152E-20     0.28152E-20     0.28152E-20     0.28152E-20     0.28152E-20     0.28152E-20     0.28152E-20     0.13125E-20     0.29982E-21     0.29982E-21     0.17639E-21     0.15016E-21    
 0.11986E-10     0.50000E-02     0.10000E-04     0.20000E-06     0.93422E-19     0.90252E-19     0.26537E-19     0.28648E-19     0.32854E-19     0.29463E-19     0.29463E-19     0.35263E-20     0.35193E-20     0.35193E-20     0.35193E-20     0.35193E-20     0.35193E-20     0.35193E-20     0.35193E-20     0.16430E-20     0.37537E-21     0.37537E-21     0.22138E-21     0.18801E-21    
 0.13382E-10     0.50000E-02     0.10000E-04     0.20000E-06     0.10119E-18     0.97412E-19     0.29629E-19     0.32244E-19     0.40037E-19     0.35990E-19     0.35990E-19     0.42913E-20     0.42834E-20     0.42834E-20     0.42834E-20     0.42834E-20     0.42834E-20     0.42834E-20     0.42834E-20     0.20019E-20     0.45743E-21     0.45743E-21     0.27043E-21     0.22911E-21    
 0.14779E-10     0.50000E-02     0.10000E-04     0.20000E-06     0.10845E-18     0.10405E-18     0.32720E-19     0.35881E-19     0.47747E-19     0.43020E-19     0.43020E-19     0.51119E-20     0.51032E-20     0.51032E-20     0.51032E-20     0.51032E-20     0.51032E-20     0.51032E-20     0.51032E-20     0.23872E-20     0.54552E-21     0.54552E-21     0.32325E-21     0.27322E-21    
 0.16175E-10     0.50000E-02     0.10000E-04     0.20000E-06     0.11523E-18     0.11019E-18     0.35812E-19     0.39555E-19     0.55945E-19     0.50521E-19     0.50521E-19     0.59841E-20     0.59746E-20     0.59746E-20     0.59746E-20     0.59746E-20     0.59746E-20     0.59746E-20     0.59746E-20     0.27968E-20     0.63918E-21     0.63918E-21     0.37961E-21     0.32013E-21    
